//@李知了:[给你小心心]//@一只浪鸭://@野生二次郎:转发微博	未
//@李知了:认真的吗	未
杜特尔特向纳税人喊话:别担心,有我在,国库很安全	未
杜特尔特向纳税人喊话：别担心，有我在国库很安全	未
杜特尔特回应自己“靠吸大麻提神”言论：开玩笑呢	未
杜特尔特见证美国归还的三座大钟移交给巴朗伊加镇	未
杜玲任深圳龙华区委书记(图/简历)	未
杜绝安全隐患信哥提醒您注意这些故障灯汽车知识 信哥涨姿势	未
杜绝 懒散拖！市消防支队主动查找问题，坚决刀口向内	未
杜绝胡说 请留下自己想要的圣诞礼物，其他人假装恋人回复Ta	未
杜绝艾滋恶魔在校园传播，昭通学院开展世界艾滋病日宣教活动	未
杜绝骗取医保，信宜市组织43家定点医疗机构及158家药店召开会议	未
杜蕾斯和小米这是要干嘛1212搞事情	未
杜蕾斯给了他多少钱	未
杜钢建：民本官末新官民七大关系	未
//@杜长军:	未
//@杜长军://@俄罗斯什么值得买://@不加V:原来你是这样的花总//@花总:小何是2002年疲劳过度去世的。谢谢老榕当年的仗义相助！我们一直记得当年网友们的热心肠。	未
_//@杜长军:_//@小浪:_//@来去之间:_//@flypig:考虑过我们这种真的很穷的博主的感受吗。。。	未
//@杜长军://@消逝的重坦:这几年新型毒品更新越来越快伪装也越来越深，禁毒压力刻不容缓//@椒江叶Sir:说什么大麻不是毒，溜冰没事的，都是引诱人放松警惕。	未
//@杜长军:花衬衫恶霸 @开水族馆的生物男	未
//@杜长军:转发微博	未
杜预不自信沉碑身后“名”	未
杜鲁门舰结束为期8个月的部署，返回诺福克军港。网页链接美国海军部署航母战斗群的标准一直是采用所谓的23模式：2个航母战斗群投入部署，3个航母战斗群随时准备在接到通知大约一个月后增兵。这一标准是在21世纪头10年之初制定的，作为由时任国防部长唐纳德拉姆斯菲尔德授意时任海军作战部长韦恩克拉克上将倡导的舰队反应计划的一部分。舰队反应计划以及随后由前美国舰队司令比尔戈特尼上将和菲尔戴维森上将倡导的优化版舰队反应计划所依据的是海军有能力使增援力量获得维护并在完成部署任务之后保持一段时间	未
杜鹃花开 新时代文明实践在宜兴杨巷镇新时代文明实践所揭牌！	未
杜鹏检查中央环保督察反馈问题整改情况 调研土地管理工作	未
杞人忧天我只看中央电视台新闻联播，我只信人民日报，一切听组织的。	未
杞县2019年新农合居民医保政策解读！	未
杞县一司机猛怼车辆后逃跑，你良心可安	未
杞县一老乡屋后装个这，从此睡不安！	未
杞县一路冒烟！	未
杞县下大雾，街头采访一位大爷，他竟然这样说...	未
杞县东关，车顶长出一只。。。	未
杞县中山街，电线吊着电线杆！	未
杞县今天（11月23日）类事！	未
杞县今天（11月24日）类事！	未
杞县今天（11月26日）类事！	未
杞县今天（11月27日）类事！	未
杞县今天（11月28日）类事！	未
杞县今天（11月30日）类事！	未
杞县今天（12月2日）类事！	未
杞县今天（12月7日）类事	未
杞县今天发生的事（11.23）	未
杞县今天发生的事（11.25）	未
杞县今天发生的事（11.29）	未
杞县今天发生的事（11.30）	未
杞县今天发生的事（12.1）	未
杞县今天发生的事（12.6）	未
杞县傅集95岁奶奶背后还有这样的故事	未
杞县傅集镇东村乡村建设正在进行中，恁村嘞	未
杞县农村很多姐妹大妈们都在做这件事原因是...	未
杞县农村老宅子也要发房本儿了	未
杞县小伙大蒜地里上香！	未
杞县平城现法盲！记好：这事可不敢干！	未
杞县拉客三轮女司机，你火了	未
杞县新农合办理流程！	未
杞县有天价彩礼么民政部关注！	未
杞县有车的速看！2018最新限行规则！	未
杞县朋友圈疯传支付宝红包被电视台曝光！	未
杞县村干部们，提个意见！	未
杞县汶水路上的老乡发了愁！出门难呐！	未
杞县沙沃一房屋失火！！！	未
杞县沙沃王大夫庄村附近，一辆三轮车翻车了！	未
杞县没考驾照的与老司机们有福了！	未
杞县畅想未来志愿者协会开展证件物品丢失义务送还公益活动	未
杞县红叶大蒜，谁见过	未
杞县老乡新空调出毛病，找谁	未
杞县老乡爆料：健身房办完卡，老板突然关了门找不到人，愁坏了！	未
杞县路上萝卜翻车！	未
杞县这个镇咋上电视了	未
杞县这些人，还钱！	未
杞县这村子，有人打架	未
杞县这条路要拓宽，私搭乱建全拆除！	未
杞县陈家思，你的证件在这！	未
束星北：中国爱因斯坦的悲惨一生	未
束河古镇豆花名宿客栈，住一晚上所有忧愁都消失了。 （预定豆花名宿客栈束河店的房间任意旅游行程即赠送天空之镜旅拍服务）丽江客栈豆花名宿丽江客栈豆花名宿（束河店）	未
束河豆花名宿客栈的天空之境是多少少女的丽江梦。	未
束河豆花名宿的天空之镜，不只是一面小镜子。	未
束犬链、抓拍不文明行为、成立自治会……看各地如何文明养犬	未
束缚	未
束缚玉雕创作的想象和空间，这几点一针见血	未
杠杠更健康//@鹿巻:纯路人但是我要过来说两句（杠言杠语140）	未
杠杠的！新余环城路项目的管理理念和施工经验引来200余人观摩	未
“杠精”“佛系”……2018年十大网络用语发布	未
杠精都没订阅你文章，光靠看免费部分就开始杠了。	未
条件允许，当然选择巴氏奶，30多的娟珊奶确实太贵，偶尔喝喝算了。	未
条件反射太可怕叻 舍友用完护肤品发了个朋友圈我下意识就一级戒备准备要举报写评论了	未
条件放宽！达茂旗纪委监委公开选调达茂旗纪委监委和旗委巡察办工作人员啦	未
条件有限看不了视频直播的老铁，可以尝试听听双红会的音频直播想当年06年世界杯，高中的我拿收音机听世界杯，也是够拼	未
《条例》	未
条例实施情况如何?市人大常委会委托区县开展检查	未
《条例》规定，党支部要担负的7项职责	未
条条与你有关！即将暂停办理部分户籍业务新出台8项便民利民措施	未
条条大路通罗马快看看外教萝卜眼中的罗马！	未
条条都与你有关！12月起，这8件事将影响苏州所有人的生活！	未
条路你家的陆丰东海这段路被建材占了二分之一	未
来，5号凌晨就开，送三台转运时钟	未
来get一下缓解手脚冰凉的方法吧	未
来pick你的主播吧	未
来Voicer上班第一天，居然这么漫长	未
来一个详细的科普，不要再上当了	未
来一个详细的科普，不要再上当了 微博视频	未
来一个详细的科普，不要再上当了 微博视频查看图片	未
来一个霸蛋蟹堡	未
来一发昨天晚上的杭州	未
//@来一场永不回头的价投:我感觉美国这次是在故意的帮中国团结一心啊，本来大家平民百姓还没有怎么样，微博上看来，大家都是一条心。。。。得谢谢美帝帮我们凝聚民心。	未
来一场说走就走的旅行，越冷越要往北走，最近有没有去哈尔滨雪谷雪乡玩的，跟着博主一起三天两夜游走起吧，博主带你一起玩转大东北！雪谷雪乡哈尔滨旅游 P1 出行信息靠谱良心住宿@五常雪谷海涛客栈P2 装备清单注意事项P3/4/6/7 三天行程景点推荐P9 哈尔滨美食推荐	未
来一张苏州头的侧写。 查看图片	未
来一杯自己熬制的生姜红糖茶，驱寒暖胃	未
来一起净化	未
来，一起喝茶	未
来，一起抱头痛哭 查看图片	未
来一起踢毽子吧	未
来不及了，双12购物清单，快给我抄一抄！	未
来不及解释了，警察蜀黍喊你周六带孩子来苏州中心	未
来与不来，我都在南京	未
来世你渡我，可愿	未
来个司机翻译一下嘛	未
来个暖和的地方待几天 古巴哈瓦那	未
来个秒杀，这款睡眠文胸，一片式，大概去年这个时候他给我寄过，我嫌贵没团，今年终于把她拖黄了，全部亏清，19包油除偏远宝贝详情尺码大家咨询客 服暗号麻子拍下改价数量不多，架上数据不大准先拍的肯定都有	未
来个近的吧	未
来丽江旅行，要到处拍照秀一秀。	未
来举报，有人眼红呢。 查看图片	未
来之前特意拜读了三岛由纪夫的《金阁寺》，实际看到的景致和书中所描绘的又是有所不同，现实中的金阁，隔着镜一样的湖面，安静地矗立在不远处。耀眼的金色让人下意识地屏住呼吸，绝美。张小杰的环球旅行 网页链接	未
来了	未
来了！2019年放假安排公布！五一劳动节只休1天！	未
来了！2019年放假安排出炉！五一假期只有一天...	未
来了！@一个抹布向前 的一直播（下载App-gt网页链接）	未
来了！专项整治通告真的出来了，这四类将在百色寸步难行	未
来了，中国图书网预售链接(包邮):网页链接 //@二次元种草机: //@哥谭首富:目前只有亚马逊上有，还没封面图，出版日期还写的11月1日//@山门_道路以目://@智商堪忧的小绵羊 :淘宝上都没得卖！不卖言甚	未
来了，丰顺县文体建筑群组（六馆三中心）工程项目规划方案批前公示	未
来了！从成都坐高铁8小时到香港，成贵铁路明年全线通车	未
来了吗！	未
来了多少次广州，第一次来江边哈哈你们去过吗 微博视频	未
来了！！！娇总一出手，就知有没有！	未
来了就是自家人	未
来了！徐宿淮盐铁路铺轨正式进入徐州	未
来了！新闻早班车	未
来了//@无情选手无忧无愁:我来了//@kanahoooo:转发pick喆个「有钱人的鞠躬」第二天将抽一位全民制作人得到520元倒贴金	未
来了！最低5，一直冷到.....今天过后，短袖真的可以收起来了	未
来了来了！	未
来了来了，上海今儿飘初雪啦！奉贤人别着急，毕竟那些年奉贤的初雪总迟到	未
来了来了！！//@何娟_你的淑芬哭了_栀子:@玩加电竞-王者荣耀进来挨打	未
来了，来了，冬天真的来了，我的内心还停留在秋天怎么办	未
来了！来了！杭州主城区下雪啦！网友：我可能在另一个次元的城区	未
来了 查看图片	未
来了！江苏省第四次全国经济普查将于2019年1月1日开始登记工作	未
来了！洛阳公交扫码支付最新进展，还有这些大事......	未
来了深圳，才明白的残酷真相	未
来了！福州首个花车巡游夜！路线已定！这些路段将交通管制	未
来了老弟。	未
来了老弟扫图一进群，群满了扫图二让小编拽你外卖分享群，外卖红包互换不知道吃啥就在群里问各位老铁快来呀！	未
来了，老弟！解答网友最近的一些疑问！	未
来，了解一下我国文化的博大精深，不知道歪果仁参加咱的汉语口语考试是啥样 微博视频	未
来了贵阳之后，我才知道	未
来了！还在墨迹，成交量好小，阶段性跌不动了，尾盘收红问题不大！整个十字星，下周一数银子！	未
来了！这些部门已经搬入通州！副中心行政办公区已启用！	未
来了，这里有一份2019年的节假日具体安排，请收好！	未
来了郑州那么多次，这还是第一次在郑州喝胡辣汤 郑州  升龙国际	未
来了！门头沟这几天李宁特便宜！内购1.5-3折，羽绒服一百多就能拿！	未
来了！青连铁路传来重大进展！最新车次和时刻表公布！	未
来了高通骁龙855处理器	未
来人 上雪地靴//@風時空萌主: 哈哈哈哈哈哈//@北顾易眠_:我家的北方狗子第一次在雪地玩也这样	未
来人呐，帮忙出个主意，第一件还是第二件还是都买了！	未
来人呐，把我的矢量歼20开出来	未
来人间一趟，你要看看太阳	未
来从虚空来，还归虚空去。往生再世，皆当欢喜。	未
来从虚空来，还归虚空去往生再世，皆当欢喜晚安湖北 汪曾祺	未
来仓库看看入库轻狂，你在等哪件啊	未
来，你给大家讲讲咋误导了，讲不出来别走。//@北京平安代理人:保险对于维持家庭的稳定性很重要真正出现疾病和意外的时候 只有保险公司能拉你一把 希望这篇文章不要误导别人 做好人生规划 买保险的钱只占到收入的一小部分	未
来做做选择题吧：1：AMD 和 intel2：高通和麒麟3：OLED和LCD4：刘海屏和挖孔屏5：玻璃和金属6：机哥和吴彦祖你们怎么选	未
来凤一面包车挤了24人，他是怎么做到的	未
来凤有个村，竟然隐藏在龙山	未
来初冬的锡山，在鹅湖青虹路社区沐一场银杏雨	未
来到一个当代艺术展馆里面的所有人包括保安 清洁工 我突然感觉这个展馆本身也是一个作品	未
来到丽江的你，是不是也想就在客栈里面就能看见玉龙雪山	未
来到大阪了	未
来到宿迁湖滨，做一天真正的皂河人	未
来到小蛮腰下面了	未
来到撒哈拉沙漠 没有了城市的灯火也没有了网络信号 和大家围坐在篝火边跳舞 爬上沙丘躺着看星星 在这与世隔绝的寂静里我真正的体会到	未
来到海南，哪能不来铜鼓岭呢昨天傍晚雨中即景使用佳能EOS RRF24105/4拍摄 文昌铜鼓岭旅游区	未
来到站内犹如进入“未来之城” 揭秘年底通车的13号线二、三期	未
来到罪恶之都西哈努克，我会被砍吗	未
来加把劲吧，咱不是这个水平	未
来加拿大旅游顺便生个孩子，这究竟算不算是好事儿	未
来势汹汹！11月26日起江苏将迎6天超长雾霾	未
来势汹汹！上周六，清远聚集了300匹狼...	未
来势汹汹！扬州雾霾超长待机！这些你一定要注意！	未
来势汹汹！泰州雾霾超长待机，将持续到月底！你需要的不仅是早点出门...	未
来医院吹气，觉得还怪好玩的	未
来！十级学者们！这只手是谁的 我也没有正确答案想请教一下	未
来南京玩一定要去的12个地方，全去过的举手！	未
来印尼日惹必去地：婆罗浮屠凌晨3点起床去婆罗浮屠看日出，这里与中国的长城印度的泰姬陵柬埔寨的吴哥窟并称为古代东方四大奇迹，果然名不虚传！精彩印尼旅行新势力印尼旅行旅行灵感季奇妙之旅	未
来厦门，如果你只去了鼓浪屿，就太可惜了，因为有太多地方适合拍照了，赶紧马走旅游拍照的时候冬天火炉夏天扇 .	未
来厦门，如果你只去了鼓浪屿，就太可惜了，因为有太多地方适合拍照了，赶紧马走旅游拍照的时候用得上	未
@来去之间 @国东 @卓哥哥 @矫情 最右拉屎狗听我给你讲故事_的主页是微博员工吧（如图）2018峰会我想和他当面聊聊疯狗的问题，12.21-12.23 有4个分会场我都会去，不知道它哪天方便查看图片 //@听我给你讲故事_:身为大V，在公共场合说话还是注意点吧。毕竟，跟个疯狗似的不太好，您说呢	未
@来去之间 //@小浪:亲恩	未
@来去之间快来抓鸡贼	未
//@来去之间: //@林熊猫:下期可以讲讲自己成立租车打车公司买自己生产的电动车摸事儿了。。。	未
//@来去之间:_//@深圳交警:刚刚准备结婚。//@爱拍车的Tiger:还是早点离了//@深圳交警: 微博查违法经@深圳交警机动训练大队 初步了解，司机称，夫妻二人行车途中吵架，妻子在后排，突然想下车，把后门打开，丈夫开车看情况不对，就马上靠边停车！	未
//@来去之间://@白城以北:转发微博	未
_//@来去之间:麻痹，这都推送。。。	未
_//@来去之间:龙在哪里	未
来，又寻亲了	未
来，取个标题	未
来，叫伯母！	未
来吃瓜，有网友爆料在望京酒吧看到李诞与一个女的亲了一晚上，不是他老婆黑尾酱，人红是非多啊	未
来合肥10年，哪个瞬间戳中你	未
来吧 一起胖//@速报酱MCN:昨天才立志减肥的我//@去日本吃什么:会有的，一切都会有的//@日本买买酱:同期待//@月球上的毛球:真想有个不嫌我会吃胖 也很爱吃的小伙伴在我身边然后我们周游列国吃各种各样好吃的很期待呢	未
来吧互相伤害//@M大王叫我来巡山: 摄影技术battle双方互爆//@辣条娘:互相伤害//@Kukmoon谷月:西方记者相互比高，香港记者相互比快//@山地玫瑰55555:互相伤害啊//@Napoleone_Buonapart:照片是真的厉害//@DDD的车神:不得不承认，照片拍的是真好	未
来吧 夜晚不睡有视频可以看//@穆雅斓:这条喊停10次！视频里出现的产品喊停送出来种草了什么吗	未
来吧！//@小一杨咩咩:来吧	未
来吧小伙伴们，评论区见	未
来吧！广场舞女王有可能是你哦	未
来吧来吧//@凯撒蓝护卫队: 再来蟹 保证前十都是自家 可以吗	未
来吧，求转发扩散	未
来吧，现在漠河，已到了泼水成冰的季节。 .	未
来呀，互相伤害啊	未
来告诉我上海为什么叫魔都	未
来商场看电影 坐电梯有个女的喝多了也上来了 一下按了个三层 然后说哎呀不对 我好像去四层 不是好像五层 哎呀哎呀 卡拉OK在几层来着 现在我俩在电梯里 我去八层 她把34567层都按亮了 气氛非常凝固	未
来啊，互相伤害啊	未
来啊，互相伤害啊若美国阻止伊朗石油出口，谁都别想通过波斯湾伊朗总统鲁哈尼：若美阻止石油出口，波斯湾也不会有石油运出 美国消费者新闻与商业频道（CNBC）12月4日报道，伊朗总统鲁哈尼当天接受伊朗国家电视台采访时威胁，若美国封锁伊朗石油出口，就要关闭霍尔木兹海峡：如果有一天，美国决定阻止伊朗的石油出口，那么波 ...全文	未
来啊！抓我啊！超过80了！有人给上海交警撂狠话...	未
来啦，今天这节奏是停不了了	未
来啦！//@差评菌:种草了//@人-海-中:冲鸭	未
来啦来啦，叫我有什么。。。我还有事我先走了	未
来啦，老弟.有年货有纹身，我是路过打酱油的	未
来啦老弟，派出所讯问室的门继续为你敞开...	未
来啦！龙口市终于下雪了！今冬首雪（多图视频），还有这事要通知大家	未
来围观！大足区公安局部分户籍办理服务窗口及出入境办理大厅迁至市民中心	未
来填空：这是今晚南京停水引发的最________事件	未
来，大家来帮帮这位阿姨	未
来，大家聊一聊听过什么震碎你三观的八卦	未
来，大家进来聊聊天 雪树群	未
来大胆的预测一下莺歌今日拿多少分NBA吐槽大会	未
来安4处市级文物保护单位公布！在你家附近吗	未
来安：千里追凶  难逃法网	未
来安又双叒上了中央头版了！	未
来安警察蜀黍又出动了，天黑路滑我送您回家！	未
来安这一省级文保单位，你去过吗！	未
来安酒驾醉驾大曝光！有你认识的吗	未
来客人了！今天下午的嘉陵来了几个搞调查的客人了哈！	未
来宾新闻 来宾：交警一天查获16起面包车超员	未
@来宾蔗农  官宣！这样处理甘蔗叶赚钱	未
来宾这类车，接下来就治你！	未
来，小伙伴们，一起搬个小板凳在朋友圈里静静看着全国的雪从北下到南	未
来小榄工作的魏先生丢了钱包，心急如麻，还好多得这位梅姨	未
来山里开会，偶遇初雪	未
来常州玩摩天轮 微博视频	未
来年陌生的是昨日最亲的某某	未
来广州10天，今天准备走了，没有去繁华的城区，在村里面呆了10天。想想挺可惜的，工作也没有找成功。不过人活着，不就是一直挑战困难嘛，只有这样，才会有成功时候的喜悦。广州，下次来的时候，我一定要好好领略你的风采	未
来广营纸质版照片办证，老年居民信息采集只跑一次！	未
来开个茶话会聊聊最近有没有发生什么甜甜的事情鸭看眼熟请奶茶和小零食	未
来张出发前合照	未
来形容一下你们那里现在有多冷	未
来往昭通鲁甸的注意：昭鲁大道即将进行交通管制	未
来往狮山桂城三水的车主注意！这些路段今天起封闭！	未
来很早以前待过的国企单位串门，瞬间被塞了好茶好零食然后听了一堆家长里短，时不时又有几个其他单位的来串门各种寒暄和闲聊，结果一下午就这么莫名其妙过去了！国企单位太特么神秘了。	未
来总，不少帖可真是不沾你说的那些条款，为何也被删//@来去之间: 回复@北京达哥:你是说这个_ 微博正文//@北京达哥:渣浪删帖理由会公布吗//@来去之间:不过应该公开这些修改意见吧，这样其他做游戏的公司可以避免重蹈覆辙，减少社会研发资源消耗，也减少委员会的重复劳动啊	未
来总的发际线，excited	未
来感受下当代小学生文具设备，叔叔阿姨都看傻了！	未
来感受下蛋糕的新切法，这大姐是在食堂工作过吧	未
来成山头，坐看百年银杏撒黄金	未
来成都必到网红圣地宽窄巷子它是由由宽巷子窄巷子井巷子平行排列组成，全为青黛砖瓦的仿古四合院落，这里也是成都遗留下来的较成规模的清朝古街道点赞魅力四川 你有来过吗 成都宽窄巷子	未
来，我们聊个5毛钱。20万年收入在你们那什么水平	未
来我家喝酒叭	未
来打个卡 看谁是熬的最晚的崽	未
来打暴暴	未
来扫个午饭钱，今晚评论里开188！！	未
来，扫个夜宵钱记得评论	未
来扫个宵夜钱，最近大包很多！领了多少记得评论，明天从评论里再送个188！	未
来找老乡，怎么办用你家乡话怎么说___________________。	未
来把例行统计一波，不知道今天各位节奏算还可以吗如果有问题，把你们的问提回复在评论区域，我看完统一回复。今天赚了的扣1，说一下赚在哪里今天亏了的扣2，说一下亏在哪里，并且反思一下原因，是止盈止损不及时还是思路出了问题，或者没有遵守我的规则，还是贪心了节奏上，2630附近加仓，目前看不到问题，具体晚上文章见。个股上，每周一股冀东装备 sz000856[股票] 继续飘，泰达股份 sz000652[股票] 板了，国机汽车 sh600335[股票] 还可以，西部材料 sz002149[股票] 大	未
来把例行统计一波，今天就是各种板啊。。。。如果有问题，把你们的问提回复在评论区域，我看完统一回复。今天赚了的扣1，说一下赚在哪里今天亏了的扣2，说一下亏在哪里，并且反思一下原因，是止盈止损不及时还是思路出了问题，或者没有遵守我的规则，还是贪心了节奏上，本来今 ...全文	未
来把例行统计一波，希望不要都是2222如果有问题，把你们的问提回复在评论区域，我看完统一回复。今天赚了的扣1，说一下赚在哪里今天亏了的扣2，说一下亏在哪里，并且反思一下原因，是止盈止损不及时还是思路出了问题，或者没有遵守我的规则，还是贪心了节奏上也还可以，要么等周五满仓的机会，要么今天靠近2550附近的机会，没什么说的，方向板块就是5G芯片，游戏传媒。个股之前都点过，这里就不说了。个股上科泰电源 sz300153[股票] 二连板，游戏传媒一直说的吉比特 sh603444[股票] 也还不错，5G的	未
来把例行统计一波，照理说今天扣1的应该比较多吧如果有问题，把你们的问提回复在评论区域，我看完统一回复。今天赚了的扣1，说一下赚在哪里今天亏了的扣2，说一下亏在哪里，并且反思一下原因，是止盈止损不及时还是思路出了问题，或者没有遵守我的规则，还是贪心了节奏上和预期差不多，周一涨，周二高抛，周三周四力度回调满仓抄底，今天两点三十分钟结构还是不错，下个星期大概率还是有一波上涨，点位暂时还是看2666。个股上，元隆雅图 sz002878[股票] 还不错，每周一股冀东装备 sz000856[股票] 这个	未
来把例行统计一波，目测今天一大波111如果有问题，把你们的问提回复在评论区域，我看完统一回复。今天赚了的扣1，说一下赚在哪里今天亏了的扣2，说一下亏在哪里，并且反思一下原因，是止盈止损不及时还是思路出了问题，或者没有遵守我的规则，还是贪心了节奏上没怂，虽然没满仓但是也大仓位（八成）做了，方向就是5G芯片传媒，创投今天没走明天也要走了。个股上，深南股份 sz002417[股票] 继续板，昨天五个总体来说还可以吧，灵魂板的德美化工 sz002054[股票] 大涨。首标鼎汉技术 sz300011	未
来抽个大包吧 603622459	未
来，拉黑一个！都是有言在先的哈！自己傻乎乎的把脖子洗干净伸过来就别怪老虾啦！嘻嘻//@christineyang129:什么时候摔杯啊	未
来捞	未
来捞自家	未
来换波头像	未
来控	未
来，控一下	未
来控评	未
来控评啊啊啊！	未
来控//@鲵妹呀:这个帖子楼主会一直更，楼里的人也会一直猜，肯定会变高楼，现在不逆袭后面会更难，还差300多人，快来！！	未
来掰掰今天的几起车祸，七大罪状，你占了几条！	未
来提问，有免费门票可以拿	未
来搞笑的一男子将车牌0改成Q！竟还写上看不见看不见	未
来撸一瓶	未
来料加工：开化农村妇女家门口的工作	未
//@来斤去污粉:	未
来斯！小学生用“南京话”讲故事，你想听么？	未
来无锡动物园，看动物们“花式”过冬	未
来易县旅游的注意啦！张石高速易县这些路段施工，请注意绕行！	未
来晒一下 你有多少个聊天群	未
来晒一下你正在用的壁纸叭	未
来晒晒你那里此刻的气温是多少	未
来晚了 还有最后五分钟继续！	未
来……来了！	未
来来体会下蛋糕的新切法，这大姐是在食堂工作过吧	未
来来回回！雾霾你还要来几次	未
来来，帮帮吉籽	未
来来！挨个戳戳！转赞评走起来，走不起来你就跑两下！	未
来来来，今天午夜话题：来聊聊你目前最想说我可以的一个人吧 顺便请给上照片今天笼放假	未
来来来吸一波热乎的欧气等你来还愿啊	未
来来来，哪位同学知道遇到这种情况该怎么办	未
来来来，大家安慰一下这位盆友	未
来来来，大家来聊聊：你工作几年了月薪多少	未
来来来小男生，咱们约个地方，我打你一顿然后把你强压身下爆个菊，你就知道强奸是什么滋味了//@是小u噢:除了绑起来或者下药 女的真能被强奸吗我是持怀疑态度的噢	未
来来来，扫我。快来支fu宝搜 8545687	未
来来来//@拉斯维加斯嘉丽:扩一下！	未
来来来，有票的鲵换群了	未
来来来，有阳光关照到的童鞋来举下手	未
来来来，这里把债务问题一口气说清楚：又有人在追问地方债问题，这就操蛋了。这么简单的事不会搜索么财新有专门的地方政府债务跟踪数据：18万亿，占GDP 20。加上中央政府数据，合计是约40。全球而言也是最健康之列。像美国地方政府负债也有3万亿美元，加上联邦政府的22，一共25万亿，是GD ...全文	未
来来来迟到的中奖名单 图片里面任意选一款哈！！私信我地址	未
来来，此时正宜@圣女言为心声: 我想去长白山。	未
来检查作业啦，今日份价值一万的转发，你转了么（来自金钱的拷问）	未
来段手势舞，手忙脚乱的呀 微博视频	未
来水了！水厂电缆故障点找到了！驻马店已开始陆续恢复供水！但是...	未
来水了！长沙猴子石水厂恢复供水 高远程地区恢复可能存在延时据长沙供水有限公司消息，上午10:25电力部门暂时恢复供电，猴子石水厂已经开始恢复正常供水。河东的水厂将会全部满负荷送水，全力保障欠压和停水区域供水，但高远程地区完全恢复供水可能存在延时。（掌上长沙）	未
来永安的途中疲劳驾驶，直到护栏插入车内	未
//@来源与方法: 同理，俄国和美国可以同时宣布暂停INF履约，开始研发生产并部署陆基中程导弹，试图向中国增加压力，让其加入INF。如果美国自己直接退出INF，自然也就不存在INF多边化的可能。（退出条约和暂停履约不需要国会批准）	未
来//@炸毛兄:转发微博	未
来点F-16的图	未
来点正能量！大妈年销千万条锦鲤：不转发锦鲤，致富靠双手	未
来点正能量女子偷塞600元红包，只为偿还27年前的4元治疗费女子偷塞600元红包，只为偿还27年前的4元治疗费受伤小狗被困车流，公交司机停车解救，最后几下摸头杀好暖这个快递，可能是最近最温暖的一个了网页链接 投稿：livexwy@qq.com	未
来点正能量！民警巡逻突遇求助，车底拯救小奶猫	未
来点点	未
来猇走访现场办公，面对面！	未
来 猜一个cars01车闻汽车V峰会	未
来，猜个车	未
来猜个车Cars01车闻	未
来玩个游戏	未
来玩个游戏吧	未
来玩个游戏，评论里留下自己的名字缩写字母，看看别人怎么叫你	未
来玩个游戏评论里给前任留一句话其他人假装前任回复一下	未
来玩个游戏，请用输入法先打出我要然后出来很多字点击第一个字一直点到它结束看看你的是什么我的是我要睡觉	未
来玩个游戏鸭 情感	未
来，珊珊带你去别人家的底盘看雪	未
来理解一下态哥的意思意思就是，不是不换，是工作室现在还找不到合适的人选，会整理一些名单给他们，希望在12月里可以看见新的造型师吧	未
来电的森林人	未
来 留存留存	未
来登记的所有老兵建议意见拦都填无！	未
来的时候，我看同行的几个男性媒体老师都拿着特大号行李箱，十分费解。毕竟只有我一个女的，而我只带了一个登机箱。于是，今天回程我，只能穿着昨天买的骑行服登机了	未
来的时候还在想，这个季节去崂山还会不会有景可看到了之后才发现，之前的担心都是多余的	未
来的都是VIP！银行疯狂拉存款：利率上浮52%，存5000就送拉杆箱	未
来，看一看巴菲特和索罗斯的投资模式有什么不同不同于巴菲特的价值投资，索罗斯的投资法是什么	未
来看一看浩南口中的交友原则，到底在乎不在乎对方粉丝量，还有所谓的高低贵贱之分，图片来自2017年11月17日，当时浩南跑到微博里开直播，小编当时飘屏交个朋友呗，浩南当时回应自己的VX号，小编直接手机写字板记录下来，并截屏了浩南的微信号，9位数qq尾号是2（已打马赛克），然后就开始加连续加了几回，如今一年多过去了都没加上，小编想说明的问题大家都懂！	未
来看今天的高手来民间系列，日前有网友在网吧看到两位LOL职业选手，MLXG和Meiko在玩游戏类比下，你在野球场看见过职业球员吗	未
来看大脚印！吉林舒兰市发现疑似东北虎踪迹记者从吉林省舒兰市了解到，近日，该市动物保护部门在山区发现疑似野生东北虎足迹，其中一枚足印长约15厘米宽约9.5厘米，十分清晰。野生动物保护专家初步判定，足迹可能属于同一只野生东北虎。	未
来看大脚印！吉林舒兰市发现疑似东北虎踪迹记者从吉林省舒兰市了解到，近日，该市动物保护部门在山区发现疑似野生东北虎足迹，其中一枚足印长约15厘米宽约9.5厘米，十分清晰。野生动物保护专家初步判定，足迹可能属于同一只野生东北虎。长春微视点	未
来看平远这座山是如何变为金山银山的！	未
来看水花兄弟的三分，阿水10中7，你汤3中0	未
来看直播拉	未
来看看2019年部分节假日安排	未
来看看，七星关这个乡镇的农村环境综合整治该如何做	未
来看看与华为有关的庞大产业链！	未
来看看交警搭的交通安全宣传戏台子，让我想起小时候看的露天老电影	未
来看看健康的德里克-变相不减速-推进不刹车-上篮必风车-绝杀无表情-罗斯是怎么打球的！NBA吐槽大会	未
来看看全球跟华为合作搞5G的都有哪些	未
来看看咱们巩义限行后，大家是如何出行的吧	未
来看看当代小学生文具设备	未
来看看 当代小学生文具设备，幸好我小时候没这个不然上学可以玩一天	未
来看看赖冠霖生图，你觉得是什么水平	未
来看看钉钉的吉祥物一只黑不溜秋的燕子，名字叫钉三多诞生前还有个正儿八经的仪式，阿里总部那颗五米高的巨蛋就是它的前身	未
